areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11
All Downtown,Manhattan,submarket,1399000.000,1395000.000,1322500.000,1295000.000,1265000.000,1225000.000,1188000.000,1130000.000,1099000.000,1100000.000,1095000.000,1100000.000,1085000.000,1095000.000,1095000.000,1085000.000,1050000.000,1062500.000,1055000.000,1040000.000,1095000.000,1132500.000,1150000.000,1150000.000,1175000.000,1195000.000,1177500.000,1195000.000,1250000.000,1200000.000,1150000.000,1172000.000,1275000.000,1275000.000,1295000.000,1325000.000,1350000.000,1338000.000,1495000.000,1495000.000,1535000.000,1600000.000,1670000.000,1670000.000,1746000.000,1795000.000,1895000.000,2000000.000,1950000.000,1895000.000,1895000.000,1992500.000,2000000.000,2195000.000,2210563.000,2325000.000,2400000.000,2450000.000,2600000.000,2950000.000,2900000.000,2821500.000,2750000.000,2700000.000,2700000.000,2750000.000,2797000.000,2850000.000,2800000.000,2750000.000,2822500.000,2995000.000,2950000.000,2700000.000,2625000.000,2550000.000,2549990.000,2500000.000,2500000.000,2499000.000,2400000.000,2349000.000,2395000.000,2495000.000,2495000.000,2395000.000,2300000.000,2375000.000,2395000.000,2325000.000,2345000.000,2345000.000,2299000.000,2353395.000,2350000.000,2380000.000,2287500.000,2199000.000,2200000.000,2160000.000,2095000.000,2000000.000,1995000.000,1995000.000,1995000.000,1995000.000,2000000.000,2137000.000,2140000.000,2150000.000,2000000.000,2075000.000,2045000.000,1995000.000,1995000.000,1995000.000,1995000.000,1995000.000,1995000.000,2073500.000,2061000.000,1995000.000,2000000.000,2154125.000,2075000.000,1995495.000,1827500.000,1757500.000,1750000.000,1750000.000,1750000.000,1750000.000,1799000.000,1795000.000,1750000.000,1790000.000,1795000.000,1762500.000,1875000.000,1927000.000,1895000.000,1950000.000,1999000.000,2143333.000,2000000.000,1895000.000,1795000.000,1800000.000,1850000.000,1895000.000,1945000.000,1900000.000,1995000.000,1995000.000,1995000.000,2100000.000,2050000.000,2055000.000,1995000.000,1975000.000,1995000.000,1995000.000,1995000.000,1995000.000,1999000.000,1995000.000,2000000.000
All Midtown,Manhattan,submarket,895000.000,885000.000,899000.000,895000.000,882500.000,887250.000,875000.000,875000.000,835000.000,857000.000,847375.000,850000.000,872500.000,850000.000,850000.000,845000.000,847000.000,825000.000,827000.000,846000.000,850000.000,850000.000,865000.000,875000.000,895000.000,900000.000,895000.000,895000.000,899000.000,910000.000,920000.000,940000.000,950000.000,950000.000,950000.000,950000.000,915000.000,925000.000,950000.000,925000.000,899000.000,889000.000,885000.000,917000.000,899000.000,899000.000,922500.000,995000.000,999000.000,995000.000,995000.000,1025000.000,1095000.000,1099000.000,1142500.000,1190000.000,1250000.000,1250000.000,1295000.000,1310000.000,1325000.000,1310000.000,1350000.000,1340000.000,1395000.000,1375000.000,1425000.000,1495000.000,1498000.000,1500000.000,1500000.000,1549500.000,1495000.000,1450000.000,1400000.000,1425000.000,1425000.000,1460000.000,1495000.000,1500000.000,1470000.000,1450000.000,1474900.000,1550000.000,1550000.000,1550000.000,1495000.000,1450000.000,1427000.000,1450000.000,1425000.000,1399000.000,1395000.000,1395000.000,1405000.000,1449000.000,1399000.000,1395000.000,1372500.000,1295000.000,1295000.000,1275000.000,1249000.000,1239000.000,1250000.000,1200000.000,1199000.000,1195000.000,1195000.000,1177500.000,1150000.000,1195000.000,1150000.000,1175000.000,1168000.000,1150000.000,1172500.000,1150000.000,1155000.000,1195000.000,1245000.000,1225000.000,1200000.000,1245000.000,1195000.000,1150000.000,1000000.000,999000.000,996000.000,999000.000,999000.000,998000.000,999995.000,1000000.000,999999.000,999999.000,999999.000,1045000.000,1050000.000,1057500.000,1065000.000,1095000.000,1100000.000,1150000.000,1165000.000,1175000.000,1150000.000,1150000.000,1175000.000,1152125.000,1150000.000,1167500.000,1180000.000,1175000.000,1195000.000,1225000.000,1250000.000,1249000.000,1200000.000,1250000.000,1250000.000,1225000.000,1200000.000,1277500.000,1295000.000,1295000.000,1336500.000
All Upper East Side,Manhattan,submarket,1200000.000,1195000.000,1185000.000,1195000.000,1100000.000,1129000.000,1100000.000,1050000.000,1000000.000,1070000.000,1080000.000,1095000.000,999000.000,999000.000,995000.000,960000.000,989000.000,992000.000,939000.000,942500.000,960000.000,995000.000,999000.000,995000.000,995000.000,999000.000,1042500.000,1027500.000,999000.000,1000000.000,1027500.000,999000.000,1050000.000,1150000.000,1200000.000,1215000.000,1200000.000,1175000.000,1192500.000,1249000.000,1275000.000,1295000.000,1249500.000,1289500.000,1450000.000,1495000.000,1525000.000,1612500.000,1675000.000,1675000.000,1599000.000,1635000.000,1600000.000,1695000.000,1650000.000,1599000.000,1662500.000,1675000.000,1795000.000,1899000.000,1900000.000,1875000.000,1795000.000,1795000.000,1895000.000,1895000.000,1895000.000,1927000.000,1950000.000,1975000.000,1999000.000,2150000.000,2100000.000,1999750.000,1975000.000,2080000.000,2000000.000,2000000.000,2100000.000,2100000.000,2175000.000,2000000.000,2000000.000,2237000.000,2175000.000,2150000.000,1997500.000,2150000.000,2100000.000,2147000.000,2100000.000,2075000.000,1995000.000,1995000.000,2000000.000,2195000.000,1999000.000,1950000.000,1900000.000,1900000.000,1827500.000,1775000.000,1749000.000,1700000.000,1692500.000,1690000.000,1690000.000,1695000.000,1675000.000,1695000.000,1650000.000,1695000.000,1725000.000,1699000.000,1695000.000,1599500.000,1595000.000,1650000.000,1695000.000,1699000.000,1695000.000,1699000.000,1695000.000,1750000.000,1725000.000,1662500.000,1500000.000,1475000.000,1495000.000,1495000.000,1499000.000,1495000.000,1495000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1525000.000,1595000.000,1595000.000,1592500.000,1549000.000,1497500.000,1495000.000,1452500.000,1495000.000,1495000.000,1500000.000,1500000.000,1575000.000,1650000.000,1712500.000,1795000.000,1795000.000,1750000.000,1699000.000,1749000.000,1727500.000,1775000.000,1795000.000,1795000.000,1862500.000,1895000.000,1895000.000
All Upper Manhattan,Manhattan,submarket,539000.000,537600.000,525000.000,525000.000,499000.000,499000.000,499000.000,498000.000,496000.000,477500.000,479000.000,480000.000,475000.000,459000.000,460000.000,465000.000,457500.000,455000.000,435000.000,445000.000,430000.000,437500.000,439000.000,439500.000,449000.000,442500.000,439000.000,439000.000,435000.000,439000.000,442000.000,449000.000,449000.000,459000.000,459000.000,469000.000,450000.000,435000.000,429000.000,450000.000,475000.000,475000.000,460000.000,469000.000,445000.000,495000.000,499000.000,505000.000,545000.000,528000.000,546000.000,549000.000,525000.000,525000.000,528000.000,539000.000,559500.000,550000.000,550000.000,585000.000,550000.000,544000.000,575000.000,580000.000,629000.000,602000.000,602000.000,609317.000,645887.000,650000.000,677500.000,699000.000,650000.000,675500.000,697000.000,722500.000,701500.000,720000.000,725000.000,725000.000,725000.000,725000.000,750000.000,760000.000,795000.000,799000.000,770000.000,770000.000,745000.000,745000.000,740000.000,699000.000,699000.000,725000.000,692500.000,695000.000,699000.000,749000.000,750000.000,785000.000,769450.000,767000.000,775000.000,750000.000,775000.000,750000.000,750000.000,750000.000,750000.000,750000.000,779000.000,749000.000,769000.000,769000.000,754500.000,750000.000,752500.000,745000.000,749999.000,750000.000,740000.000,720000.000,725000.000,735000.000,725000.000,729000.000,775000.000,775000.000,748500.000,750000.000,750000.000,725000.000,699000.000,695000.000,699000.000,699000.000,695000.000,695000.000,690000.000,695000.000,695000.000,695000.000,695000.000,665000.000,675000.000,659000.000,684000.000,675000.000,689500.000,700000.000,699000.000,689000.000,689000.000,699000.000,697000.000,699000.000,715000.000,699000.000,698000.000,690000.000,692500.000,699000.000,692500.000,696500.000,665000.000,699000.000,700000.000
All Upper West Side,Manhattan,submarket,1050000.000,1060000.000,1063519.000,999000.000,1040000.000,998000.000,999000.000,998375.000,995000.000,995000.000,999000.000,998500.000,995000.000,1002500.000,1005000.000,1095000.000,1062500.000,1095000.000,1015000.000,1025000.000,995000.000,999000.000,1095000.000,1095000.000,1050000.000,1075000.000,1030000.000,995000.000,995000.000,995000.000,999000.000,1049500.000,1025000.000,1050000.000,1077500.000,1100000.000,1100000.000,1087500.000,1050000.000,1057500.000,1099500.000,1150000.000,1095000.000,999000.000,1050000.000,1145000.000,1175000.000,1195000.000,1297000.000,1295000.000,1299000.000,1450000.000,1399000.000,1300000.000,1265000.000,1295000.000,1350000.000,1495000.000,1622500.000,1750000.000,1555000.000,1680000.000,1700000.000,1750000.000,1750000.000,1895000.000,1895000.000,1948750.000,1985000.000,1878250.000,1895000.000,2100000.000,2100000.000,1999000.000,1975000.000,1999000.000,1995000.000,1995000.000,1995000.000,2000000.000,1948750.000,1850000.000,1946250.000,1995000.000,1950000.000,1995000.000,1900000.000,1995000.000,1900000.000,1897000.000,1875000.000,1875000.000,1811250.000,1802500.000,1899000.000,1895000.000,1850000.000,1850000.000,1750000.000,1750000.000,1785000.000,1749000.000,1699000.000,1699000.000,1700000.000,1750000.000,1750000.000,1850000.000,1892500.000,1817500.000,1795000.000,1750000.000,1795000.000,1800000.000,1800000.000,1795000.000,1800000.000,1725000.000,1785000.000,1885000.000,1700000.000,1650000.000,1550000.000,1550000.000,1525000.000,1500000.000,1475000.000,1450000.000,1444500.000,1395000.000,1385000.000,1375000.000,1395000.000,1445000.000,1499000.000,1595000.000,1575000.000,1595000.000,1595000.000,1595000.000,1595000.000,1595000.000,1575000.000,1650000.000,1695000.000,1625000.000,1595000.000,1695000.000,1695000.000,1612500.000,1675000.000,1625000.000,1625000.000,1688000.000,1695000.000,1698000.000,1697000.000,1649500.000,1596000.000,1625000.000,1630000.000,1635000.000,1640000.000,1675000.000,1650000.000,1650000.000,1740000.000
Astoria,Queens,neighborhood,469000.000,477000.000,487000.000,449000.000,450000.000,450000.000,449000.000,445000.000,445000.000,452500.000,465000.000,469000.000,468000.000,469000.000,475000.000,475000.000,475000.000,474000.000,449500.000,450000.000,441980.000,439000.000,459000.000,469000.000,494000.000,485000.000,485000.000,449000.000,474625.000,495000.000,494500.000,492000.000,472500.000,500000.000,499500.000,524500.000,530000.000,564000.000,529000.000,579000.000,524500.000,519000.000,444000.000,472500.000,491000.000,483000.000,444500.000,457500.000,444000.000,440000.000,515000.000,515000.000,520000.000,525000.000,529500.000,537000.000,547000.000,529000.000,539000.000,540000.000,567000.000,567000.000,599000.000,699500.000,749000.000,755000.000,755000.000,676510.000,689000.000,720000.000,649000.000,654000.000,669000.000,678020.000,703425.000,703425.000,867000.000,857000.000,892000.000,869000.000,892000.000,962500.000,865000.000,1073500.000,1048000.000,950000.000,759000.000,725000.000,730000.000,697000.000,695000.000,712320.000,699000.000,799000.000,1050000.000,1129000.000,1050000.000,929000.000,952000.000,899000.000,849500.000,800000.000,800000.000,839000.000,849000.000,893500.000,935000.000,930000.000,912000.000,854500.000,854500.000,885600.000,998500.000,1238500.000,1150000.000,1179000.000,945000.000,899000.000,888000.000,850000.000,825000.000,899000.000,925000.000,972000.000,946500.000,918000.000,836556.000,899000.000,859000.000,829080.000,790000.000,750000.000,744500.000,699000.000,737000.000,788580.000,810329.000,799848.000,750000.000,782000.000,729000.000,789000.000,798500.000,795000.000,798500.000,829200.000,825000.000,850000.000,859000.000,848500.000,849000.000,849000.000,849000.000,795000.000,789000.000,729000.000,712500.000,759500.000,744000.000,755000.000,757000.000,760000.000,760000.000,779000.000,775000.000,794500.000,879000.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534000.000,567000.000,539000.000,577000.000,595000.000,595000.000,595000.000,,,,,,685084.000,608938.000,633500.000,564000.000,,,,,,,,,,,,710000.000,704500.000,710000.000,739000.000,739000.000,699000.000,768000.000,848900.000,,738944.000,699888.000,650000.000,679000.000,650000.000,619500.000,689000.000,,,,,988000.000,,900000.000,,,,,764000.000,,,824000.000,799500.000,889500.000,1056500.000,898500.000,899000.000,899000.000,1075000.000,1075000.000,994000.000,1000000.000,987000.000,987000.000,1020000.000,1005000.000,899000.000,899000.000,899500.000,899999.000,899999.000,970000.000,983444.000,993444.000,970000.000,1029444.000,968000.000,1080000.000,968000.000,959000.000,968000.000,968434.000,921500.000,950000.000,939868.000,939868.000,908888.000,911944.000,839000.000,793500.000,828888.000,828888.000,872500.000,909000.000,909000.000,948000.000,1013450.000,1023500.000,1098000.000,998000.000,848944.000,858888.000,971987.000,1250000.000,1038888.000,958000.000,1023444.000,899000.000,899000.000,,,,1048000.000,999999.000,999444.000,1074000.000,1068000.000,1068000.000,965000.000,980000.000,888000.000,969000.000,974000.000,1013944.000,1048944.000,988888.000,1023944.000,1058500.000,1088000.000,1043500.000,1043944.000,1038000.000,1150000.000
Bath Beach,Brooklyn,neighborhood,,,,,,457000.000,434000.000,457000.000,465000.000,449000.000,412000.000,219500.000,210000.000,359000.000,539000.000,539000.000,539000.000,539000.000,539000.000,539000.000,539000.000,539000.000,552000.000,565000.000,568000.000,568000.000,599000.000,599000.000,599000.000,,378500.000,625000.000,625000.000,575000.000,574000.000,570000.000,570000.000,568000.000,570000.000,570000.000,568000.000,568000.000,568000.000,571000.000,576000.000,608500.000,725000.000,,,,,,,,619000.000,,606000.000,624000.000,543500.000,,390000.000,390000.000,390000.000,444500.000,,,,,788000.000,833500.000,769000.000,745000.000,750000.000,755000.000,898000.000,898000.000,898000.000,898000.000,908000.000,908000.000,945000.000,945000.000,899000.000,899000.000,938000.000,938000.000,1150000.000,1100000.000,1098000.000,1099000.000,1098000.000,1048000.000,1144000.000,1050000.000,899000.000,899500.000,934400.000,934400.000,999000.000,995000.000,998000.000,899000.000,998500.000,866500.000,840000.000,840000.000,840000.000,906500.000,906500.000,939000.000,899000.000,1100000.000,1165000.000,1068000.000,1068000.000,977000.000,985000.000,990000.000,949000.000,943000.000,869000.000,869000.000,939500.000,804500.000,788000.000,830000.000,810000.000,874000.000,999494.000,999000.000,999000.000,904000.000,812000.000,837000.000,783500.000,768000.000,826944.000,775000.000,722500.000,757000.000,775000.000,898000.000,1098000.000,924500.000,990000.000,858000.000,995000.000,1069500.000,990000.000,1074500.000,1188000.000,1188000.000,1287000.000,1188000.000,1139444.000,1052500.000,1050000.000,1095000.000,1097500.000,1097500.000,825000.000,949000.000,998000.000,889000.000,973500.000,973500.000,1044000.000
Battery Park City,Manhattan,neighborhood,875000.000,944000.000,925000.000,925000.000,900000.000,1010000.000,934500.000,775000.000,777500.000,929000.000,900000.000,860000.000,875000.000,890000.000,849000.000,912000.000,899000.000,870000.000,830000.000,870000.000,912500.000,899000.000,815000.000,860000.000,850000.000,850000.000,830000.000,849000.000,817500.000,820000.000,775000.000,770000.000,799000.000,774695.000,810000.000,801125.000,835000.000,835000.000,819000.000,795000.000,785559.000,825000.000,1130000.000,1149500.000,1115000.000,1124500.000,1124500.000,999000.000,1200000.000,1150000.000,1050000.000,960000.000,997000.000,1039250.000,1150000.000,995000.000,977500.000,1262250.000,1450000.000,1964100.000,1950000.000,2350000.000,2030000.000,1500000.000,1600000.000,1525000.000,1500000.000,1512500.000,1720000.000,1790000.000,1697000.000,1695000.000,1790000.000,1699000.000,1900000.000,1922500.000,1965000.000,1950000.000,1896500.000,1879000.000,1860000.000,1649000.000,1810000.000,1992500.000,1990000.000,1882500.000,1825000.000,1760000.000,1549500.000,1419000.000,1513500.000,1400000.000,1599000.000,1450000.000,1297000.000,1225000.000,1225000.000,1500000.000,1499000.000,1395000.000,1298000.000,1190000.000,1225000.000,1182500.000,1225000.000,1292500.000,1390000.000,1320000.000,1199000.000,1195000.000,1177500.000,1155000.000,1187500.000,1175000.000,1217000.000,1242500.000,1199000.000,1179000.000,1180000.000,1099000.000,1264000.000,1385000.000,1342000.000,1500000.000,1417500.000,1598000.000,1162500.000,999000.000,987000.000,1096500.000,1095000.000,1097000.000,975000.000,967500.000,998000.000,937500.000,950000.000,945000.000,996500.000,950000.000,1195000.000,1150000.000,1150000.000,1099000.000,1210000.000,1150000.000,1299000.000,1299000.000,1222000.000,1304640.000,1250000.000,1276350.000,1377500.000,1375000.000,1250000.000,1277700.000,1250000.000,1278850.000,1250000.000,1135000.000,1063750.000,1120000.000,1227000.000,1280000.000,1227000.000,1335000.000,1385750.000
Bay Ridge,Brooklyn,neighborhood,398000.000,398000.000,399000.000,399000.000,388500.000,398000.000,379000.000,357000.000,387000.000,395000.000,369000.000,374000.000,350000.000,344500.000,334000.000,334000.000,329000.000,329000.000,339000.000,334000.000,347000.000,327000.000,299000.000,299000.000,320000.000,294000.000,320000.000,279000.000,287000.000,283000.000,282000.000,279000.000,280000.000,279000.000,320000.000,311500.000,315000.000,369000.000,384000.000,369000.000,369500.000,370000.000,359000.000,359000.000,349950.000,349000.000,349000.000,347000.000,345000.000,335000.000,320000.000,289000.000,269500.000,276500.000,279000.000,289000.000,310000.000,310000.000,320000.000,305000.000,310000.000,319500.000,350000.000,354500.000,339000.000,399000.000,457000.000,562500.000,487000.000,594000.000,600000.000,735000.000,625000.000,629000.000,575000.000,650000.000,599999.000,639500.000,873500.000,849000.000,695000.000,599000.000,598500.000,812000.000,815000.000,788000.000,750000.000,773500.000,775000.000,729000.000,699000.000,762500.000,699000.000,684000.000,729000.000,799000.000,835000.000,816500.000,740000.000,682500.000,660250.000,695000.000,669000.000,749000.000,749900.000,749900.000,749900.000,739000.000,754500.000,749000.000,787000.000,698000.000,699000.000,752000.000,767000.000,759999.000,687000.000,699000.000,699000.000,749000.000,639000.000,599000.000,590000.000,622000.000,589999.000,599000.000,590000.000,598000.000,596000.000,570000.000,539000.000,535000.000,535000.000,497000.000,485000.000,495000.000,529000.000,589000.000,575000.000,609500.000,589500.000,575000.000,549000.000,491500.000,525000.000,554000.000,567000.000,525000.000,525000.000,499000.000,537500.000,519500.000,499000.000,500000.000,495000.000,509000.000,498000.000,485000.000,499999.000,512000.000,549000.000,525000.000,514000.000,539000.000,549000.000,567000.000,625000.000
